,CBSA,Title,MetroMicro,Pop2018,COVIDEnd,AttackRate,r,dataset,remove_deaths,filtering
4452,41860,"San Francisco-Oakland-Berkeley, CA",Metropolitan Statistical Area,4729484,1251,0.1648998746709213,0.9944722936669104,1point3acres,False,None
4453,41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,1999107,865,0.1339368400793501,0.991469914345399,1point3acres,False,None
4454,42020,"San Luis Obispo-Paso Robles, CA",Metropolitan Statistical Area,284010,77,,,1point3acres,False,None
4455,42100,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,274255,45,0.11532643557008437,0.9846443100969453,1point3acres,False,None
4456,42140,"Santa Fe, NM",Metropolitan Statistical Area,150056,37,0.17323915954402325,0.9930365624226117,1point3acres,False,None
4457,42200,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area,446527,88,,,1point3acres,False,None
4458,42220,"Santa Rosa-Petaluma, CA",Metropolitan Statistical Area,499942,66,0.23047809335698602,0.9555690090123229,1point3acres,False,None
4459,42300,"Sault Ste. Marie, MI",Micropolitan Statistical Area,37517,0,,,1point3acres,False,None
4460,42340,"Savannah, GA",Metropolitan Statistical Area,389494,30,,,1point3acres,False,None
4461,42380,"Sayre, PA",Micropolitan Statistical Area,60833,3,,,1point3acres,False,None
4462,42420,"Scottsbluff, NE",Micropolitan Statistical Area,37906,1,,,1point3acres,False,None
4463,42460,"Scottsboro, AL",Micropolitan Statistical Area,51736,7,,,1point3acres,False,None
4464,42500,"Scottsburg, IN",Micropolitan Statistical Area,23878,1,,,1point3acres,False,None
4465,42540,"Scranton--Wilkes-Barre, PA",Metropolitan Statistical Area,555485,212,,,1point3acres,False,None
4466,42620,"Searcy, AR",Micropolitan Statistical Area,78727,9,,,1point3acres,False,None
4467,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,3939363,3809,0.12696711770823627,0.9928373520018439,1point3acres,False,None
4468,42680,"Sebastian-Vero Beach, FL",Metropolitan Statistical Area,157413,25,,,1point3acres,False,None
4469,42700,"Sebring-Avon Park, FL",Metropolitan Statistical Area,105424,14,,,1point3acres,False,None
4470,42740,"Sedalia, MO",Micropolitan Statistical Area,42542,1,,,1point3acres,False,None
4471,42780,"Selinsgrove, PA",Micropolitan Statistical Area,40540,2,,,1point3acres,False,None
4472,42820,"Selma, AL",Micropolitan Statistical Area,38310,2,,,1point3acres,False,None
4473,42860,"Seneca, SC",Micropolitan Statistical Area,78374,4,,,1point3acres,False,None
4474,42900,"Seneca Falls, NY",Micropolitan Statistical Area,34300,0,,,1point3acres,False,None
4475,42940,"Sevierville, TN",Micropolitan Statistical Area,97892,7,,,1point3acres,False,None
4476,42980,"Seymour, IN",Micropolitan Statistical Area,44111,8,,,1point3acres,False,None
